资源编号,资源类型,事件类型,开始_s,结束_s
U07,无人机,飞行,0.0,2415.0589732457174
U08,无人机,飞行,0.0,2177.8831567676207
U05,无人机,飞行,0.0,1924.5810720325776
U06,无人机,飞行,0.0,1869.385765700731
U06,无人机,飞行,1869.385765700731,2973.4972511235537
U05,无人机,飞行,1924.5810720325776,3884.49829280609
U08,无人机,飞行,2177.8831567676207,4284.5875816184725
U07,无人机,飞行,2415.0589732457174,3993.800328256756
U06,无人机,飞行,3463.030652130539,5422.758743336442
U05,无人机,飞行,3884.49829280609,5755.946977291136
U07,无人机,飞行,4088.9917783296423,6458.287915596744
U08,无人机,飞行,4391.938673674811,6639.457802902696
U06,无人机,飞行,5422.758743336442,7190.018282630175
U05,无人机,飞行,5838.170072766187,7045.225541860446
U07,无人机,飞行,6458.287915596744,8361.064014642654
U08,无人机,飞行,6700.589703622784,8505.244465642882
U05,无人机,飞行,7066.253948318438,8170.365433741261
U06,无人机,飞行,7432.538535205538,8536.65002062836
U05,无人机,飞行,8218.215401305137,9322.326886727958
U06,无人机,飞行,8752.902857557767,9899.958326652026
U07,无人机,飞行,8851.669607263735,11080.366681788082
U05,无人机,飞行,9322.326886727958,10426.43837215078
U06,无人机,飞行,9899.958326652026,11799.875547425538
U05,无人机,飞行,10427.18236043374,12122.671837774826
U06,无人机,飞行,11799.875547425538,13230.388482353912
U05,无人机,飞行,12122.671837774826,13269.727306869085
U06,无人机,飞行,13661.939595719303,15621.667686925206
U05,无人机,飞行,13810.952745732007,15770.68083693791
U06,无人机,飞行,15621.667686925206,17328.927226218937
U05,无人机,飞行,15770.68083693791,17221.28533447233
C-电池01,电池,飞行,0.0,2415.0589732457174
C-电池01,电池,充电,2415.0589732457174,4391.938673674811
C-电池02,电池,飞行,0.0,2177.8831567676207
C-电池02,电池,充电,2177.8831567676207,4088.9917783296423
B-电池01,电池,飞行,0.0,1924.5810720325776
B-电池01,电池,充电,1924.5810720325776,3783.1187740117257
B-电池02,电池,飞行,0.0,1869.385765700731
B-电池02,电池,充电,1869.385765700731,3463.030652130539
B-电池03,电池,飞行,1869.385765700731,2973.4972511235537
B-电池03,电池,充电,2973.4972511235537,4078.352724829336
B-电池04,电池,飞行,1924.5810720325776,3884.49829280609
B-电池04,电池,充电,3884.49829280609,5838.170072766187
C-电池03,电池,飞行,2177.8831567676207,4284.5875816184725
C-电池03,电池,充电,4284.5875816184725,6700.589703622784
C-电池04,电池,飞行,2415.0589732457174,3993.800328256756
C-电池04,电池,充电,3993.800328256756,5470.4221836999295
B-电池02,电池,飞行,3463.030652130539,5422.758743336442
B-电池02,电池,充电,5422.758743336442,7066.253948318438
B-电池01,电池,飞行,3884.49829280609,5755.946977291136
B-电池01,电池,充电,5755.946977291136,7432.538535205538
C-电池02,电池,飞行,4088.9917783296423,6458.287915596744
C-电池02,电池,充电,6458.287915596744,8851.669607263735
C-电池01,电池,飞行,4391.938673674811,6639.457802902696
C-电池01,电池,充电,6639.457802902696,9100.435849081867
B-电池03,电池,飞行,5422.758743336442,7190.018282630175
B-电池03,电池,充电,7190.018282630175,8752.902857557767
B-电池04,电池,飞行,5838.170072766187,7045.225541860446
B-电池04,电池,充电,7045.225541860446,8218.215401305137
C-电池04,电池,飞行,6458.287915596744,8361.064014642654
C-电池04,电池,充电,8361.064014642654,10076.58356038723
C-电池03,电池,飞行,6700.589703622784,8505.244465642882
C-电池03,电池,充电,8505.244465642882,10430.615315449259
B-电池02,电池,飞行,7066.253948318438,8170.365433741261
B-电池02,电池,充电,8170.365433741261,9275.220907447043
B-电池01,电池,飞行,7432.538535205538,8536.65002062836
B-电池01,电池,充电,8536.65002062836,9641.505494334142
B-电池04,电池,飞行,8218.215401305137,9322.326886727958
B-电池04,电池,充电,9322.326886727958,10427.18236043374
B-电池03,电池,飞行,8752.902857557767,9899.958326652026
B-电池03,电池,充电,9899.958326652026,11028.423616622204
C-电池02,电池,飞行,8851.669607263735,11080.366681788082
C-电池02,电池,充电,11080.366681788082,13261.45163220664
B-电池02,电池,飞行,9322.326886727958,10426.43837215078
B-电池02,电池,充电,10426.43837215078,11511.72890353204
B-电池01,电池,飞行,9899.958326652026,11799.875547425538
B-电池01,电池,充电,11799.875547425538,13661.939595719303
B-电池04,电池,飞行,10427.18236043374,12122.671837774826
B-电池04,电池,充电,12122.671837774826,13810.952745732007
B-电池03,电池,飞行,11799.875547425538,13230.388482353912
B-电池03,电池,充电,13230.388482353912,14552.722607650572
B-电池02,电池,飞行,12122.671837774826,13269.727306869085
B-电池02,电池,充电,13269.727306869085,14371.729138557263
B-电池01,电池,飞行,13661.939595719303,15621.667686925206
B-电池01,电池,充电,15621.667686925206,17337.907389431883
B-电池04,电池,飞行,13810.952745732007,15770.68083693791
B-电池04,电池,充电,15770.68083693791,17439.73651699057
B-电池02,电池,飞行,15621.667686925206,17328.927226218937
B-电池02,电池,充电,17328.927226218937,18825.447166273545
B-电池03,电池,飞行,15770.68083693791,17221.28533447233
B-电池03,电池,充电,17221.28533447233,18590.003769258634
