架次编号,机型编号,无人机编号,电池编号,起飞时刻_s,返航时刻_s,停靠序列
P21-T001,C,U07,C-电池01,0.0,2415.0589732457174,O01->S006->S007->O01
P21-T002,C,U08,C-电池02,0.0,2177.8831567676207,O01->S013->S010->O01
P21-T003,B,U05,B-电池01,0.0,1924.5810720325776,O01->S012->O01
P21-T004,B,U06,B-电池02,0.0,1869.385765700731,O01->S014->O01
P21-T005,B,U06,B-电池03,1869.385765700731,2973.4972511235537,O01->S001->O01
P21-T006,B,U05,B-电池04,1924.5810720325776,3884.49829280609,O01->S008->O01
P21-T007,C,U08,C-电池03,2177.8831567676207,4284.5875816184725,O01->S002->O01
P21-T008,C,U07,C-电池04,2415.0589732457174,3993.800328256756,O01->S001->O01
P21-T009,B,U06,B-电池02,3463.030652130539,5422.758743336442,O01->S003->O01
P21-T010,B,U05,B-电池01,3884.49829280609,5755.946977291136,O01->S004->O01
P21-T011,C,U07,C-电池02,4088.9917783296423,6458.287915596744,O01->S003->O01
P21-T012,C,U08,C-电池01,4391.938673674811,6639.457802902696,O01->S004->O01
P21-T013,B,U06,B-电池03,5422.758743336442,7190.018282630175,O01->S015->O01
P21-T014,B,U05,B-电池04,5838.170072766187,7045.225541860446,O01->S006->O01
P21-T015,C,U07,C-电池04,6458.287915596744,8361.064014642654,O01->S001->S011->O01
P21-T016,C,U08,C-电池03,6700.589703622784,8505.244465642882,O01->S005->O01
P21-T017,B,U05,B-电池02,7066.253948318438,8170.365433741261,O01->S001->O01
P21-T018,B,U06,B-电池01,7432.538535205538,8536.65002062836,O01->S001->O01
P21-T019,B,U05,B-电池04,8218.215401305137,9322.326886727958,O01->S001->O01
P21-T020,B,U06,B-电池03,8752.902857557767,9899.958326652026,O01->S006->O01
P21-T021,C,U07,C-电池02,8851.669607263735,11080.366681788082,O01->S009->S002->O01
P21-T022,B,U05,B-电池02,9322.326886727958,10426.43837215078,O01->S001->O01
P21-T023,B,U06,B-电池01,9899.958326652026,11799.875547425538,O01->S008->O01
P21-T024,B,U05,B-电池04,10427.18236043374,12122.671837774826,O01->S002->O01
P21-T025,B,U06,B-电池03,11799.875547425538,13230.388482353912,O01->S010->O01
P21-T026,B,U05,B-电池02,12122.671837774826,13269.727306869085,O01->S006->O01
P21-T027,B,U06,B-电池01,13661.939595719303,15621.667686925206,O01->S003->O01
P21-T028,B,U05,B-电池04,13810.952745732007,15770.68083693791,O01->S003->O01
P21-T029,B,U06,B-电池02,15621.667686925206,17328.927226218937,O01->S015->O01
P21-T030,B,U05,B-电池03,15770.68083693791,17221.28533447233,O01->S005->O01
