资源编号,资源类型,事件类型,开始_s,结束_s
B-电池01,电池,飞行,0.0,1924.5810720325776
B-电池01,电池,充电,1924.5810720325776,3783.1187740117257
B-电池01,电池,飞行,3783.1187740117257,5862.846865217629
B-电池01,电池,充电,5862.846865217629,7733.137842834831
B-电池02,电池,飞行,0.0,1869.385765700731
B-电池02,电池,充电,1869.385765700731,3463.030652130539
B-电池02,电池,飞行,3475.0940069609514,4985.008488171281
B-电池02,电池,充电,4985.008488171281,6441.714880315092
B-电池03,电池,飞行,1869.385765700731,3684.8752430418167
B-电池03,电池,充电,3684.8752430418167,5525.5142052635965
B-电池04,电池,飞行,1924.5810720325776,3475.0940069609514
B-电池04,电池,充电,3475.0940069609514,4930.543891252844
B-电池04,电池,飞行,4985.008488171281,6541.188428797401
B-电池04,电池,充电,6541.188428797401,8114.598127441746
C-电池01,电池,飞行,0.0,2604.57883931854
C-电池01,电池,充电,2604.57883931854,4893.306698237848
C-电池01,电池,飞行,4893.306698237848,7581.9765865797
C-电池01,电池,充电,7581.9765865797,10133.121177375171
C-电池02,电池,飞行,0.0,2040.7044248508514
C-电池02,电池,充电,2040.7044248508514,4421.055672971466
C-电池02,电池,飞行,4421.055672971466,5933.797027982505
C-电池02,电池,充电,5933.797027982505,7558.411139402763
C-电池02,电池,飞行,8303.093165249607,10173.747927269704
C-电池02,电池,充电,10173.747927269704,12147.921360963377
C-电池03,电池,飞行,2040.7044248508514,3751.44577986189
C-电池03,电池,充电,3751.44577986189,5397.22340806783
C-电池03,电池,飞行,5933.797027982505,8303.093165249607
C-电池03,电池,充电,8303.093165249607,10696.474856916599
C-电池04,电池,飞行,2604.57883931854,4165.916921531289
C-电池04,电池,充电,4165.916921531289,5702.496583645265
C-电池04,电池,飞行,7581.9765865797,9895.495715807585
C-电池04,电池,充电,9895.495715807585,12393.85232316622
U05,无人机,飞行,0.0,1924.5810720325776
U05,无人机,飞行,1924.5810720325776,3475.0940069609514
U05,无人机,飞行,3475.0940069609514,4985.008488171281
U05,无人机,飞行,4985.008488171281,6541.188428797401
U06,无人机,飞行,0.0,1869.385765700731
U06,无人机,飞行,1869.385765700731,3684.8752430418167
U06,无人机,飞行,3783.1187740117257,5862.846865217629
U07,无人机,飞行,0.0,2604.57883931854
U07,无人机,飞行,2604.57883931854,4165.916921531289
U07,无人机,飞行,4893.306698237848,7581.9765865797
U07,无人机,飞行,7581.9765865797,9895.495715807585
U08,无人机,飞行,0.0,2040.7044248508514
U08,无人机,飞行,2040.7044248508514,3751.44577986189
U08,无人机,飞行,4421.055672971466,5933.797027982505
U08,无人机,飞行,5933.797027982505,8303.093165249607
U08,无人机,飞行,8303.093165249607,10173.747927269704
