资源编号,资源类型,事件类型,开始_s,结束_s
B-电池01,电池,飞行,0.0,1924.5810720325776
B-电池01,电池,充电,1924.5810720325776,3783.1187740117257
B-电池01,电池,飞行,3783.1187740117257,5743.035994785238
B-电池01,电池,充电,5743.035994785238,7696.707774745335
B-电池01,电池,飞行,7696.707774745335,9252.887715371455
B-电池01,电池,充电,9252.887715371455,10826.2974140158
B-电池01,电池,飞行,10826.2974140158,12521.786891356885
B-电池01,电池,充电,12521.786891356885,14210.067799314067
B-电池01,电池,飞行,14361.704112130397,16057.193589471482
B-电池01,电池,充电,16057.193589471482,17688.869657339506
B-电池02,电池,飞行,0.0,1869.385765700731
B-电池02,电池,充电,1869.385765700731,3463.030652130539
B-电池02,电池,飞行,3463.030652130539,5494.657798740745
B-电池02,电池,充电,5494.657798740745,7056.5535168041415
B-电池02,电池,飞行,7426.1064832257925,8997.373126400122
B-电池02,电池,充电,8997.373126400122,10270.45533109712
B-电池02,电池,飞行,10395.187722607508,11910.945652358845
B-电池02,电池,充电,11910.945652358845,13250.069818588847
B-电池02,电池,飞行,13361.550149893264,15232.998834378312
B-电池02,电池,充电,15232.998834378312,16983.496642049602
B-电池03,电池,飞行,1869.385765700731,3419.898700629105
B-电池03,电池,充电,3419.898700629105,4875.348584920997
B-电池03,电池,飞行,5494.657798740745,7426.1064832257925
B-电池03,电池,充电,7426.1064832257925,9407.793439006176
B-电池03,电池,飞行,9407.793439006176,10554.848908100435
B-电池03,电池,充电,10554.848908100435,11683.314198070613
B-电池03,电池,飞行,12521.786891356885,14361.704112130397
B-电池03,电池,充电,14361.704112130397,16148.45912177903
B-电池04,电池,飞行,1924.5810720325776,3434.4955532429076
B-电池04,电池,充电,3434.4955532429076,4891.201945386718
B-电池04,电池,飞行,5743.035994785238,7614.484679270285
B-电池04,电池,充电,7614.484679270285,9291.076237184687
B-电池04,电池,飞行,9291.076237184687,10395.187722607508
B-电池04,电池,充电,10395.187722607508,11500.04319631329
B-电池04,电池,飞行,11910.945652358845,13361.550149893264
B-电池04,电池,充电,13361.550149893264,14771.463400653125
B-电池04,电池,飞行,15232.998834378312,16683.60333191273
B-电池04,电池,充电,16683.60333191273,18060.421672686774
C-电池01,电池,飞行,0.0,2415.0589732457174
C-电池01,电池,充电,2415.0589732457174,4334.272345686984
C-电池01,电池,飞行,4334.272345686984,6861.723542889991
C-电池01,电池,充电,6861.723542889991,9204.825281058973
C-电池01,电池,飞行,9576.486115202897,12144.665802824955
C-电池01,电池,充电,12144.665802824955,14603.290980039845
C-电池02,电池,飞行,0.0,2106.7044248508514
C-电池02,电池,充电,2106.7044248508514,4548.585522369237
C-电池02,电池,飞行,4548.585522369237,6917.881659636339
C-电池02,电池,充电,6917.881659636339,9160.858401363812
C-电池02,电池,飞行,9160.858401363812,10865.634500409722
C-电池02,电池,充电,10865.634500409722,12465.994150475293
C-电池03,电池,飞行,2106.7044248508514,3619.44577986189
C-电池03,电池,充电,3619.44577986189,5051.423925155199
C-电池03,电池,飞行,6861.723542889991,9576.486115202897
C-电池03,电池,充电,9576.486115202897,11903.093359121198
C-电池04,电池,飞行,2415.0589732457174,3861.800328256756
C-电池04,电池,充电,3861.800328256756,5433.028884799235
C-电池04,电池,飞行,6917.881659636339,8656.536421656434
C-电池04,电池,充电,8656.536421656434,10488.53950437648
U05,无人机,飞行,0.0,1924.5810720325776
U05,无人机,飞行,1924.5810720325776,3434.4955532429076
U05,无人机,飞行,3783.1187740117257,5743.035994785238
U05,无人机,飞行,5743.035994785238,7614.484679270285
U05,无人机,飞行,7696.707774745335,9252.887715371455
U05,无人机,飞行,9407.793439006176,10554.848908100435
U05,无人机,飞行,10826.2974140158,12521.786891356885
U05,无人机,飞行,12521.786891356885,14361.704112130397
U05,无人机,飞行,14361.704112130397,16057.193589471482
U06,无人机,飞行,0.0,1869.385765700731
U06,无人机,飞行,1869.385765700731,3419.898700629105
U06,无人机,飞行,3463.030652130539,5494.657798740745
U06,无人机,飞行,5494.657798740745,7426.1064832257925
U06,无人机,飞行,7426.1064832257925,8997.373126400122
U06,无人机,飞行,9291.076237184687,10395.187722607508
U06,无人机,飞行,10395.187722607508,11910.945652358845
U06,无人机,飞行,11910.945652358845,13361.550149893264
U06,无人机,飞行,13361.550149893264,15232.998834378312
U06,无人机,飞行,15232.998834378312,16683.60333191273
U07,无人机,飞行,0.0,2415.0589732457174
U07,无人机,飞行,2415.0589732457174,3861.800328256756
U07,无人机,飞行,4548.585522369237,6917.881659636339
U07,无人机,飞行,6917.881659636339,8656.536421656434
U07,无人机,飞行,9160.858401363812,10865.634500409722
U08,无人机,飞行,0.0,2106.7044248508514
U08,无人机,飞行,2106.7044248508514,3619.44577986189
U08,无人机,飞行,4334.272345686984,6861.723542889991
U08,无人机,飞行,6861.723542889991,9576.486115202897
U08,无人机,飞行,9576.486115202897,12144.665802824955
