架次编号,机型编号,无人机编号,电池编号,起飞时刻_s,返航时刻_s,停靠序列
T001,C,U07,C-电池01,0.0,2604.57883931854,O01->S007->S015->O01
T002,C,U08,C-电池02,0.0,2040.7044248508514,O01->S002->O01
T003,B,U05,B-电池01,0.0,1924.5810720325776,O01->S012->O01
T004,B,U06,B-电池02,0.0,1869.385765700731,O01->S014->O01
T005,B,U06,B-电池03,1869.385765700731,3684.8752430418167,O01->S002->O01
T006,B,U05,B-电池04,1924.5810720325776,3475.0940069609514,O01->S010->O01
T007,C,U08,C-电池03,2040.7044248508514,3751.44577986189,O01->S001->O01
T008,C,U07,C-电池04,2604.57883931854,4165.916921531289,O01->S006->O01
T009,B,U05,B-电池02,3475.0940069609514,4985.008488171281,O01->S013->O01
T010,B,U06,B-电池01,3783.1187740117257,5862.846865217629,O01->S003->O01
T011,C,U08,C-电池02,4421.055672971466,5933.797027982505,O01->S001->O01
T012,C,U07,C-电池01,4893.306698237848,7581.9765865797,O01->S011->S008->O01
T013,B,U05,B-电池04,4985.008488171281,6541.188428797401,O01->S009->O01
T014,C,U08,C-电池03,5933.797027982505,8303.093165249607,O01->S003->O01
T015,C,U07,C-电池04,7581.9765865797,9895.495715807585,O01->S004->O01
T016,C,U08,C-电池02,8303.093165249607,10173.747927269704,O01->S005->O01
