货箱编号,服务区编号,物资类型,期望送达时间_s,硬约束时限_s,实际送达时刻_s,是否硬约束超时
S001-MED-01,S001,医疗物资,3600,3600.0,625.1790760447445,False
S001-MED-02,S001,医疗物资,3600,3600.0,625.1790760447445,False
S001-WAT-01,S001,饮用水,3600,3600.0,2876.3460305618255,False
S001-WAT-02,S001,饮用水,3600,,6749.914680748619,False
S001-WAT-03,S001,饮用水,3600,,4010.457515984648,False
S001-WAT-04,S001,饮用水,3600,,10505.406137235903,False
S001-WAT-05,S001,饮用水,3600,,11609.517622658725,False
S001-WAT-06,S001,饮用水,3600,,12119.734391366534,False
S001-WAT-07,S001,饮用水,3600,,12714.373096364507,False
S001-WAT-08,S001,饮用水,3600,,4010.457515984648,False
S001-FOD-01,S001,应急食品,7200,,13818.484581787328,False
S001-FOD-02,S001,应急食品,7200,,14626.022589585411,False
S001-FOD-03,S001,应急食品,7200,,14923.34005549311,False
S001-HYG-01,S001,生活卫生用品,10800,,16027.451540915932,False
S001-HYG-02,S001,生活卫生用品,10800,,17131.563026338754,False
S002-MED-01,S002,医疗物资,3600,3600.0,4224.079242676432,True
S002-WAT-01,S002,饮用水,3600,3600.0,4224.079242676432,True
S002-WAT-02,S002,饮用水,3600,,18747.24352795718,False
S002-WAT-03,S002,饮用水,3600,,20140.686937409486,False
S002-WAT-04,S002,饮用水,3600,,11108.850228857873,False
S002-FOD-01,S002,应急食品,7200,,26468.2038574687,False
S002-FOD-02,S002,应急食品,7200,,29429.5150989287,False
S002-HYG-01,S002,生活卫生用品,10800,,11108.850228857873,False
S003-MED-01,S003,医疗物资,7200,7200.0,1508.419443743449,False
S003-WAT-01,S003,饮用水,7200,7200.0,1508.419443743449,False
S003-WAT-02,S003,饮用水,7200,,40856.8523454314,False
S003-WAT-03,S003,饮用水,7200,,44006.830112651616,False
S003-WAT-04,S003,饮用水,7200,,44224.160926799,False
S003-FOD-01,S003,应急食品,10800,,23191.17415771232,False
S003-FOD-02,S003,应急食品,10800,,52916.06696857678,False
S003-HYG-01,S003,生活卫生用品,14400,,23191.17415771232,False
S004-MED-01,S004,医疗物资,7200,7200.0,7656.8892066914,True
S004-WAT-01,S004,饮用水,7200,7200.0,7656.8892066914,True
S004-WAT-02,S004,饮用水,7200,,37544.20336907285,False
S004-WAT-03,S004,饮用水,7200,,26649.8494867599,False
S004-FOD-01,S004,应急食品,10800,,47370.64629528568,False
S004-HYG-01,S004,生活卫生用品,14400,,40656.3312268265,False
S005-MED-01,S005,医疗物资,10800,10800.0,10842.009733221246,True
S005-WAT-01,S005,饮用水,10800,10800.0,7132.182230373294,False
S005-WAT-02,S005,饮用水,10800,,32259.658303971315,False
S005-WAT-03,S005,饮用水,10800,,34628.40845953128,False
S005-FOD-01,S005,应急食品,14400,,50265.92253651264,False
S005-HYG-01,S005,生活卫生用品,18000,,26185.91761298086,False
S006-MED-01,S006,医疗物资,3600,3600.0,1746.402553303285,False
S006-WAT-01,S006,饮用水,3600,3600.0,3636.076613419279,True
S006-WAT-02,S006,饮用水,3600,,3636.076613419279,False
S006-WAT-03,S006,饮用水,3600,,13496.07911232687,False
S006-FOD-01,S006,应急食品,7200,,3636.076613419279,False
S006-HYG-01,S006,生活卫生用品,10800,,21558.78274396049,False
S007-MED-01,S007,医疗物资,3600,3600.0,1017.484494050473,False
S007-WAT-01,S007,饮用水,3600,3600.0,1017.484494050473,False
S007-WAT-02,S007,饮用水,3600,,15954.827768386513,False
S007-FOD-01,S007,应急食品,7200,,23675.788097898032,False
S007-HYG-01,S007,生活卫生用品,10800,,37975.260607017895,False
S008-MED-01,S008,医疗物资,7200,7200.0,7935.643494114171,True
S008-WAT-01,S008,饮用水,7200,7200.0,7935.643494114171,True
S008-WAT-02,S008,饮用水,7200,,35134.25844566629,False
S008-FOD-01,S008,应急食品,10800,,47112.120713291704,False
S008-HYG-01,S008,生活卫生用品,14400,,41109.56560138633,False
S009-MED-01,S009,医疗物资,10800,10800.0,10649.015787918364,False
S009-WAT-01,S009,饮用水,10800,10800.0,10649.015787918364,False
S009-FOD-01,S009,应急食品,14400,,49990.4340367376,False
S010-MED-01,S010,医疗物资,3600,3600.0,949.9606695344734,False
S010-WAT-01,S010,饮用水,3600,3600.0,949.9606695344734,False
S010-FOD-01,S010,应急食品,7200,,21308.67834340271,False
S011-MED-01,S011,医疗物资,10800,10800.0,5634.496459692091,False
S011-WAT-01,S011,饮用水,10800,10800.0,9419.987916179376,False
S011-FOD-01,S011,应急食品,14400,,7145.76310286642,False
S012-MED-01,S012,医疗物资,7200,3600.0,4981.943212488607,True
S012-WAT-01,S012,饮用水,3600,3600.0,4981.943212488607,True
S012-FOD-01,S012,应急食品,7200,,31931.83558464217,False
S013-MED-01,S013,医疗物资,3600,3600.0,4421.773740331366,True
S013-WAT-01,S013,饮用水,3600,3600.0,4421.773740331366,True
S013-FOD-01,S013,应急食品,7200,,17407.55730720068,False
S014-MED-01,S014,医疗物资,7200,3600.0,1486.3225059588844,False
S014-WAT-01,S014,饮用水,3600,3600.0,1486.3225059588844,False
S014-FOD-01,S014,应急食品,7200,,29399.784570127285,False
S015-MED-01,S015,医疗物资,7200,7200.0,1999.6762601041896,False
S015-WAT-01,S015,饮用水,10800,10800.0,1999.6762601041896,False
S015-FOD-01,S015,应急食品,14400,,53001.11052976915,False
