资源编号,资源类型,事件类型,开始_s,结束_s
B-电池01,运输电池,飞行,0.0,1104.1114854228224
B-电池01,运输电池,充电,1104.1114854228224,2178.878840573282
B-电池01,运输电池,飞行,2251.166954517081,3355.2784399399034
B-电池01,运输电池,充电,3355.2784399399034,4460.133913645685
B-电池01,运输电池,飞行,5029.883981346975,6094.735604703874
B-电池01,运输电池,充电,6094.735604703874,7137.987573469149
B-电池01,运输电池,飞行,8815.37543783426,9880.227061191159
B-电池01,运输电池,充电,9880.227061191159,10951.54323839576
B-电池01,运输电池,飞行,11494.55531532179,12598.666800744611
B-电池01,运输电池,充电,12598.666800744611,13703.522274450394
B-电池01,运输电池,飞行,14000.843513540667,15104.954998963489
B-电池01,运输电池,充电,15104.954998963489,16190.245530344748
B-电池01,运输电池,飞行,16506.38395029401,17610.49543571683
B-电池01,运输电池,充电,17610.49543571683,18690.960242005098
B-电池01,运输电池,飞行,20525.885209271855,21956.39814420023
B-电池01,运输电池,充电,21956.39814420023,23278.73226949689
B-电池01,运输电池,飞行,25548.519118798158,27244.008596139243
B-电池01,运输电池,充电,27244.008596139243,28886.749275025322
B-电池01,运输电池,飞行,30959.61504862588,32764.19612065846
B-电池01,运输电池,充电,32764.19612065846,34422.32479332582
B-电池01,运输电池,飞行,37149.741642142224,38665.49957189356
B-电池01,运输电池,充电,38665.49957189356,39966.38398981474
B-电池01,运输电池,飞行,42958.99273371533,44918.720824921234
B-电池01,运输电池,充电,44918.720824921234,46634.96052742791
B-电池01,运输电池,飞行,49200.75406642454,50636.93400705066
B-电池01,运输电池,充电,50636.93400705066,52057.29972172868
B-电池02,运输电池,飞行,0.0,1104.1114854228224
B-电池02,运输电池,充电,1104.1114854228224,2178.878840573282
B-电池02,运输电池,飞行,3355.2784399399034,4519.389925362726
B-电池02,运输电池,充电,4519.389925362726,5716.83504655374
B-电池02,运输电池,飞行,6094.735604703874,7606.002247878202
B-电池02,运输电池,充电,7606.002247878202,8901.611183241235
B-电池02,运输电池,飞行,9880.227061191159,10984.33854661398
B-电池02,运输电池,充电,10984.33854661398,12089.194020319763
B-电池02,运输电池,飞行,12089.194020319763,13193.305505742585
B-电池02,运输电池,充电,13193.305505742585,14298.160979448367
B-电池02,运输电池,飞行,14298.160979448367,15402.272464871188
B-电池02,运输电池,充电,15402.272464871188,16487.562996252447
B-电池02,运输电池,飞行,16645.06673326218,18034.98121447251
B-电池02,运输电池,充电,18034.98121447251,19357.849653942416
B-电池02,运输电池,飞行,20916.49167608003,22063.54714517429
B-电池02,运输电池,充电,22063.54714517429,23165.54897686247
B-电池02,运输电池,飞行,25357.85869754698,27513.927162335756
B-电池02,运输电池,充电,27513.927162335756,29337.6038131663
B-电池02,运输电池,飞行,31461.599388537437,32912.20388607186
B-电池02,运输电池,充电,32912.20388607186,34322.11713683172
B-电池02,运输电池,飞行,36536.83236016366,38408.281044648706
B-电池02,运输电池,充电,38408.281044648706,40158.77885232
B-电池02,运输电池,飞行,43176.32354786271,45136.05163906862
B-电池02,运输电池,充电,45136.05163906862,46852.29134157529
B-电池02,运输电池,飞行,49467.863621078766,50918.468118613186
B-电池02,运输电池,充电,50918.468118613186,52295.28645938723
B-电池03,运输电池,飞行,3274.394504005889,5029.883981346975
B-电池03,运输电池,充电,5029.883981346975,6749.044192560346
B-电池03,运输电池,飞行,10043.95081778737,11494.55531532179
B-电池03,运输电池,充电,11494.55531532179,12853.788044446408
B-电池03,运输电池,飞行,12853.788044446408,14000.843513540667
