货箱编号,服务区编号,物资类型,期望送达时间_s,硬约束时限_s,实际送达时刻_s,是否硬约束超时
S001-MED-01,S001,医疗物资,3600,3600.0,3199.177233500301,False
S001-MED-02,S001,医疗物资,3600,3600.0,3199.177233500301,False
S001-WAT-01,S001,饮用水,3600,3600.0,5489.528481620917,True
S001-WAT-02,S001,饮用水,3600,,5489.528481620917,False
S001-WAT-03,S001,饮用水,3600,,5489.528481620917,False
S001-WAT-04,S001,饮用水,3600,,5489.528481620917,False
S001-WAT-05,S001,饮用水,3600,,5489.528481620917,False
S001-WAT-06,S001,饮用水,3600,,3199.177233500301,False
S001-WAT-07,S001,饮用水,3600,,3199.177233500301,False
S001-WAT-08,S001,饮用水,3600,,3199.177233500301,False
S001-FOD-01,S001,应急食品,7200,,3199.177233500301,False
S001-FOD-02,S001,应急食品,7200,,3199.177233500301,False
S001-FOD-03,S001,应急食品,7200,,3199.177233500301,False
S001-HYG-01,S001,生活卫生用品,10800,,5489.528481620917,False
S001-HYG-02,S001,生活卫生用品,10800,,3199.177233500301,False
S002-MED-01,S002,医疗物资,3600,3600.0,7251.071922814826,True
S002-WAT-01,S002,饮用水,3600,3600.0,1333.6793435693562,False
S002-WAT-02,S002,饮用水,3600,,1333.6793435693562,False
S002-WAT-03,S002,饮用水,3600,,1333.6793435693562,False
S002-WAT-04,S002,饮用水,3600,,7251.071922814826,False
S002-FOD-01,S002,应急食品,7200,,1333.6793435693562,False
S002-FOD-02,S002,应急食品,7200,,7251.071922814826,False
S002-HYG-01,S002,生活卫生用品,10800,,1333.6793435693562,False
S003-MED-01,S003,医疗物资,7200,7200.0,15116.050913912313,True
S003-WAT-01,S003,饮用水,7200,7200.0,10383.889556936021,True
S003-WAT-02,S003,饮用水,7200,,10383.889556936021,False
S003-WAT-03,S003,饮用水,7200,,15116.050913912313,False
S003-WAT-04,S003,饮用水,7200,,10383.889556936021,False
S003-FOD-01,S003,应急食品,10800,,10383.889556936021,False
S003-FOD-02,S003,应急食品,10800,,15116.050913912313,False
S003-HYG-01,S003,生活卫生用品,14400,,10383.889556936021,False
S004-MED-01,S004,医疗物资,7200,7200.0,13743.053001391134,True
S004-WAT-01,S004,饮用水,7200,7200.0,13743.053001391134,True
S004-WAT-02,S004,饮用水,7200,,13743.053001391134,False
S004-WAT-03,S004,饮用水,7200,,13743.053001391134,False
S004-FOD-01,S004,应急食品,10800,,13743.053001391134,False
S004-HYG-01,S004,生活卫生用品,14400,,13743.053001391134,False
S005-MED-01,S005,医疗物资,10800,10800.0,16879.040077579026,True
S005-WAT-01,S005,饮用水,10800,10800.0,16879.040077579026,True
S005-WAT-02,S005,饮用水,10800,,16879.040077579026,False
S005-WAT-03,S005,饮用水,10800,,16879.040077579026,False
S005-FOD-01,S005,应急食品,14400,,16879.040077579026,False
S005-HYG-01,S005,生活卫生用品,18000,,16879.040077579026,False
S006-MED-01,S006,医疗物资,3600,3600.0,3514.9284490228893,False
S006-WAT-01,S006,饮用水,3600,3600.0,3514.9284490228893,False
S006-WAT-02,S006,饮用水,3600,,3514.9284490228893,False
S006-WAT-03,S006,饮用水,3600,,3514.9284490228893,False
S006-FOD-01,S006,应急食品,7200,,3514.9284490228893,False
S006-HYG-01,S006,生活卫生用品,10800,,3514.9284490228893,False
S007-MED-01,S007,医疗物资,3600,3600.0,1174.5200626484482,False
S007-WAT-01,S007,饮用水,3600,3600.0,1174.5200626484482,False
S007-WAT-02,S007,饮用水,3600,,1174.5200626484482,False
S007-FOD-01,S007,应急食品,7200,,1174.5200626484482,False
S007-HYG-01,S007,生活卫生用品,10800,,1174.5200626484482,False
S008-MED-01,S008,医疗物资,7200,7200.0,7060.184345252226,False
S008-WAT-01,S008,饮用水,7200,7200.0,7060.184345252226,False
S008-WAT-02,S008,饮用水,7200,,7060.184345252226,False
S008-FOD-01,S008,应急食品,10800,,7060.184345252226,False
S008-HYG-01,S008,生活卫生用品,14400,,7060.184345252226,False
S009-MED-01,S009,医疗物资,10800,10800.0,18107.631750211123,True
S009-WAT-01,S009,饮用水,10800,10800.0,18107.631750211123,True
S009-FOD-01,S009,应急食品,14400,,18107.631750211123,False
S010-MED-01,S010,医疗物资,3600,3600.0,9854.642816913909,True
S010-WAT-01,S010,饮用水,3600,3600.0,9854.642816913909,True
S010-FOD-01,S010,应急食品,7200,,9854.642816913909,False
S011-MED-01,S011,医疗物资,10800,10800.0,6266.348605944981,False
S011-WAT-01,S011,饮用水,10800,10800.0,6266.348605944981,False
S011-FOD-01,S011,应急食品,14400,,6266.348605944981,False
S012-MED-01,S012,医疗物资,7200,3600.0,4363.331011508335,True
S012-WAT-01,S012,饮用水,3600,3600.0,4363.331011508335,True
S012-FOD-01,S012,应急食品,7200,,4363.331011508335,False
S013-MED-01,S013,医疗物资,3600,3600.0,12233.745304860679,True
S013-WAT-01,S013,饮用水,3600,3600.0,12233.745304860679,True
S013-FOD-01,S013,应急食品,7200,,12233.745304860679,False
S014-MED-01,S014,医疗物资,7200,3600.0,4458.94165066854,True
S014-WAT-01,S014,饮用水,3600,3600.0,4458.94165066854,True
S014-FOD-01,S014,应急食品,7200,,4458.94165066854,False
S015-MED-01,S015,医疗物资,7200,7200.0,1752.5280957077996,False
S015-WAT-01,S015,饮用水,10800,10800.0,1752.5280957077996,False
S015-FOD-01,S015,应急食品,14400,,1752.5280957077996,False
