货箱编号,服务区编号,物资类型,期望送达时间_s,硬约束时限_s,实际送达时刻_s,是否硬约束超时
S001-MED-01,S001,医疗物资,3600,3600.0,2926.2601023563707,False
S001-MED-02,S001,医疗物资,3600,3600.0,2926.2601023563707,False
S001-WAT-01,S001,饮用水,3600,3600.0,5216.6113504769855,True
S001-WAT-02,S001,饮用水,3600,,5216.6113504769855,False
S001-WAT-03,S001,饮用水,3600,,5216.6113504769855,False
S001-WAT-04,S001,饮用水,3600,,5216.6113504769855,False
S001-WAT-05,S001,饮用水,3600,,5216.6113504769855,False
S001-WAT-06,S001,饮用水,3600,,2926.2601023563707,False
S001-WAT-07,S001,饮用水,3600,,2926.2601023563707,False
S001-WAT-08,S001,饮用水,3600,,2926.2601023563707,False
S001-FOD-01,S001,应急食品,7200,,2926.2601023563707,False
S001-FOD-02,S001,应急食品,7200,,2926.2601023563707,False
S001-FOD-03,S001,应急食品,7200,,2926.2601023563707,False
S001-HYG-01,S001,生活卫生用品,10800,,5216.6113504769855,False
S001-HYG-02,S001,生活卫生用品,10800,,2926.2601023563707,False
S002-MED-01,S002,医疗物资,3600,3600.0,2849.070504371274,False
S002-WAT-01,S002,饮用水,3600,3600.0,1060.7622124254258,False
S002-WAT-02,S002,饮用水,3600,,1060.7622124254258,False
S002-WAT-03,S002,饮用水,3600,,1060.7622124254258,False
S002-WAT-04,S002,饮用水,3600,,2849.070504371274,False
S002-FOD-01,S002,应急食品,7200,,1060.7622124254258,False
S002-FOD-02,S002,应急食品,7200,,2849.070504371274,False
S002-HYG-01,S002,生活卫生用品,10800,,1060.7622124254258,False
S003-MED-01,S003,医疗物资,7200,7200.0,4890.956152948011,False
S003-WAT-01,S003,饮用水,7200,7200.0,7152.905096616056,False
S003-WAT-02,S003,饮用水,7200,,7152.905096616056,False
S003-WAT-03,S003,饮用水,7200,,4890.956152948011,False
S003-WAT-04,S003,饮用水,7200,,7152.905096616056,False
S003-FOD-01,S003,应急食品,10800,,7152.905096616056,False
S003-FOD-02,S003,应急食品,10800,,4890.956152948011,False
S003-HYG-01,S003,生活卫生用品,14400,,7152.905096616056,False
S004-MED-01,S004,医疗物资,7200,7200.0,8775.706151193643,True
S004-WAT-01,S004,饮用水,7200,7200.0,8775.706151193643,True
S004-WAT-02,S004,饮用水,7200,,8775.706151193643,False
S004-WAT-03,S004,饮用水,7200,,8775.706151193643,False
S004-FOD-01,S004,应急食品,10800,,8775.706151193643,False
S004-HYG-01,S004,生活卫生用品,14400,,8775.706151193643,False
S005-MED-01,S005,医疗物资,10800,10800.0,9277.055546259655,False
S005-WAT-01,S005,饮用水,10800,10800.0,9277.055546259655,False
S005-WAT-02,S005,饮用水,10800,,9277.055546259655,False
S005-WAT-03,S005,饮用水,10800,,9277.055546259655,False
S005-FOD-01,S005,应急食品,14400,,9277.055546259655,False
S005-HYG-01,S005,生活卫生用品,18000,,9277.055546259655,False
S006-MED-01,S006,医疗物资,3600,3600.0,3417.892880424914,False
S006-WAT-01,S006,饮用水,3600,3600.0,3417.892880424914,False
S006-WAT-02,S006,饮用水,3600,,3417.892880424914,False
S006-WAT-03,S006,饮用水,3600,,3417.892880424914,False
S006-FOD-01,S006,应急食品,7200,,3417.892880424914,False
S006-HYG-01,S006,生活卫生用品,10800,,3417.892880424914,False
S007-MED-01,S007,医疗物资,3600,3600.0,1077.4844940504731,False
S007-WAT-01,S007,饮用水,3600,3600.0,1077.4844940504731,False
S007-WAT-02,S007,饮用水,3600,,1077.4844940504731,False
S007-FOD-01,S007,应急食品,7200,,1077.4844940504731,False
S007-HYG-01,S007,生活卫生用品,10800,,1077.4844940504731,False
S008-MED-01,S008,医疗物资,7200,7200.0,6520.923087480379,False
S008-WAT-01,S008,饮用水,7200,7200.0,6520.923087480379,False
S008-WAT-02,S008,饮用水,7200,,6520.923087480379,False
S008-FOD-01,S008,应急食品,10800,,6520.923087480379,False
S008-HYG-01,S008,生活卫生用品,14400,,6520.923087480379,False
S009-MED-01,S009,医疗物资,10800,10800.0,5834.688458484341,False
S009-WAT-01,S009,饮用水,10800,10800.0,5834.688458484341,False
S009-FOD-01,S009,应急食品,14400,,5834.688458484341,False
S010-MED-01,S010,医疗物资,3600,3600.0,2767.374206163431,False
S010-WAT-01,S010,饮用水,3600,3600.0,2767.374206163431,False
S010-FOD-01,S010,应急食品,7200,,2767.374206163431,False
S011-MED-01,S011,医疗物资,10800,10800.0,5727.087348173132,False
S011-WAT-01,S011,饮用水,10800,10800.0,5727.087348173132,False
S011-FOD-01,S011,应急食品,14400,,5727.087348173132,False
S012-MED-01,S012,医疗物资,7200,3600.0,1032.2205360162889,False
S012-WAT-01,S012,饮用水,3600,3600.0,1032.2205360162889,False
S012-FOD-01,S012,应急食品,7200,,1032.2205360162889,False
S013-MED-01,S013,医疗物资,3600,3600.0,4297.58458089945,True
S013-WAT-01,S013,饮用水,3600,3600.0,4297.58458089945,True
S013-FOD-01,S013,应急食品,7200,,4297.58458089945,False
S014-MED-01,S014,医疗物资,7200,3600.0,1002.2495495170322,False
S014-WAT-01,S014,饮用水,3600,3600.0,1002.2495495170322,False
S014-FOD-01,S014,应急食品,7200,,1002.2495495170322,False
S015-MED-01,S015,医疗物资,7200,7200.0,1655.4925271098246,False
S015-WAT-01,S015,饮用水,10800,10800.0,1655.4925271098246,False
S015-FOD-01,S015,应急食品,14400,,1655.4925271098246,False
